RECODE of q22 (Do you know or not how to register on online platform for COVID-1	0	1	2	3	4	5	6	7	8	9	10	Total
0	74.9	80.4	84.4	76.7	73.8	68.5	62.4	51.3	41.8	28.9	25.8	57.8
1	25.1	19.6	15.6	23.3	26.2	31.5	37.6	48.7	58.2	71.1	74.2	42.2

